Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 3.607009	Val Loss: 4.551312	Val Acc: 15
Train Epoch: 1 [5120/49000 (10%)]	Train Loss: 8.447696	Val Loss: 7.546154	Val Acc: 17
Train Epoch: 1 [10240/49000 (21%)]	Train Loss: 3.807514	Val Loss: 3.710247	Val Acc: 25
Train Epoch: 1 [15360/49000 (31%)]	Train Loss: 2.155977	Val Loss: 2.125665	Val Acc: 33
Train Epoch: 1 [20480/49000 (42%)]	Train Loss: 1.793568	Val Loss: 1.717927	Val Acc: 40
Train Epoch: 1 [25600/49000 (52%)]	Train Loss: 1.635382	Val Loss: 1.649637	Val Acc: 41
Train Epoch: 1 [30720/49000 (62%)]	Train Loss: 1.580747	Val Loss: 1.577908	Val Acc: 47
Train Epoch: 1 [35840/49000 (73%)]	Train Loss: 1.579004	Val Loss: 1.544360	Val Acc: 48
Train Epoch: 1 [40960/49000 (83%)]	Train Loss: 1.523806	Val Loss: 1.516798	Val Acc: 49
Train Epoch: 1 [46080/49000 (94%)]	Train Loss: 1.515822	Val Loss: 1.487852	Val Acc: 49
Train Epoch: 2 [0/49000 (0%)]	Train Loss: 1.512266	Val Loss: 1.482813	Val Acc: 49
Train Epoch: 2 [5120/49000 (10%)]	Train Loss: 1.443210	Val Loss: 1.467452	Val Acc: 51
Train Epoch: 2 [10240/49000 (21%)]	Train Loss: 1.471683	Val Loss: 1.469178	Val Acc: 51
Train Epoch: 2 [15360/49000 (31%)]	Train Loss: 1.488631	Val Loss: 1.487454	Val Acc: 49
Train Epoch: 2 [20480/49000 (42%)]	Train Loss: 1.391788	Val Loss: 1.447330	Val Acc: 50
Train Epoch: 2 [25600/49000 (52%)]	Train Loss: 1.392923	Val Loss: 1.443488	Val Acc: 51
Train Epoch: 2 [30720/49000 (62%)]	Train Loss: 1.379143	Val Loss: 1.438619	Val Acc: 50
Train Epoch: 2 [35840/49000 (73%)]	Train Loss: 1.404939	Val Loss: 1.401443	Val Acc: 52
