Train Epoch: 1 [0/49000 (0%)]	Train Loss: 2.307009	Val Loss: 2.391784	Val Acc: 11	Test Acc: 9
Train Epoch: 1 [1280/49000 (3%)]	Train Loss: 2.155179	Val Loss: 2.154313	Val Acc: 19	Test Acc: 22
Train Epoch: 1 [2560/49000 (5%)]	Train Loss: 1.897221	Val Loss: 2.002877	Val Acc: 28	Test Acc: 25
Train Epoch: 1 [3840/49000 (8%)]	Train Loss: 2.057971	Val Loss: 1.959451	Val Acc: 32	Test Acc: 31
Train Epoch: 1 [5120/49000 (10%)]	Train Loss: 1.777553	Val Loss: 1.861471	Val Acc: 33	Test Acc: 32
Train Epoch: 1 [6400/49000 (13%)]	Train Loss: 1.780854	Val Loss: 1.807598	Val Acc: 34	Test Acc: 34
Train Epoch: 1 [7680/49000 (16%)]	Train Loss: 1.824857	Val Loss: 1.755754	Val Acc: 39	Test Acc: 35
Train Epoch: 1 [8960/49000 (18%)]	Train Loss: 1.850265	Val Loss: 1.719166	Val Acc: 38	Test Acc: 38
Train Epoch: 1 [10240/49000 (21%)]	Train Loss: 1.723526	Val Loss: 1.631426	Val Acc: 42	Test Acc: 41
Train Epoch: 1 [11520/49000 (23%)]	Train Loss: 1.633010	Val Loss: 1.627793	Val Acc: 44	Test Acc: 39
Train Epoch: 1 [12800/49000 (26%)]	Train Loss: 1.751565	Val Loss: 1.548898	Val Acc: 44	Test Acc: 39
Train Epoch: 1 [14080/49000 (29%)]	Train Loss: 1.585762	Val Loss: 1.508603	Val Acc: 46	Test Acc: 45
Train Epoch: 1 [15360/49000 (31%)]	Train Loss: 1.639739	Val Loss: 1.545146	Val Acc: 43	Test Acc: 41
Train Epoch: 1 [16640/49000 (34%)]	Train Loss: 1.634492	Val Loss: 1.570581	Val Acc: 45	Test Acc: 41
Train Epoch: 1 [17920/49000 (37%)]	Train Loss: 1.703687	Val Loss: 1.523814	Val Acc: 45	Test Acc: 43
Train Epoch: 1 [19200/49000 (39%)]	Train Loss: 1.636313	Val Loss: 1.456898	Val Acc: 48	Test Acc: 46
Train Epoch: 1 [20480/49000 (42%)]	Train Loss: 1.676631	Val Loss: 1.476089	Val Acc: 45	Test Acc: 44
Train Epoch: 1 [21760/49000 (44%)]	Train Loss: 1.680894	Val Loss: 1.481867	Val Acc: 45	Test Acc: 43
Train Epoch: 1 [23040/49000 (47%)]	Train Loss: 1.585058	Val Loss: 1.496290	Val Acc: 44	Test Acc: 46
Train Epoch: 1 [24320/49000 (50%)]	Train Loss: 1.518614	Val Loss: 1.483105	Val Acc: 45	Test Acc: 45
Train Epoch: 1 [25600/49000 (52%)]	Train Loss: 1.547711	Val Loss: 1.402842	Val Acc: 49	Test Acc: 50
Train Epoch: 1 [26880/49000 (55%)]	Train Loss: 1.402140	Val Loss: 1.436263	Val Acc: 46	Test Acc: 47
Train Epoch: 1 [28160/49000 (57%)]	Train Loss: 1.401899	Val Loss: 1.412650	Val Acc: 47	Test Acc: 48
Train Epoch: 1 [29440/49000 (60%)]	Train Loss: 1.551555	Val Loss: 1.479498	Val Acc: 44	Test Acc: 44
Train Epoch: 1 [30720/49000 (63%)]	Train Loss: 1.418086	Val Loss: 1.397534	Val Acc: 47	Test Acc: 51
Train Epoch: 1 [32000/49000 (65%)]	Train Loss: 1.545367	Val Loss: 1.414809	Val Acc: 48	Test Acc: 47
Train Epoch: 1 [33280/49000 (68%)]	Train Loss: 1.456780	Val Loss: 1.538287	Val Acc: 45	Test Acc: 45
Train Epoch: 1 [34560/49000 (70%)]	Train Loss: 1.482981	Val Loss: 1.377434	Val Acc: 50	Test Acc: 48
Train Epoch: 1 [35840/49000 (73%)]	Train Loss: 1.406829	Val Loss: 1.343226	Val Acc: 51	Test Acc: 49
Train Epoch: 1 [37120/49000 (76%)]	Train Loss: 1.462623	Val Loss: 1.359526	Val Acc: 49	Test Acc: 53
Train Epoch: 1 [38400/49000 (78%)]	Train Loss: 1.471721	Val Loss: 1.358962	Val Acc: 51	Test Acc: 49
Train Epoch: 1 [39680/49000 (81%)]	Train Loss: 1.132044	Val Loss: 1.398069	Val Acc: 50	Test Acc: 50
Train Epoch: 1 [40960/49000 (84%)]	Train Loss: 1.380530	Val Loss: 1.388324	Val Acc: 51	Test Acc: 47
Train Epoch: 1 [42240/49000 (86%)]	Train Loss: 1.400629	Val Loss: 1.347125	Val Acc: 49	Test Acc: 48
Train Epoch: 1 [43520/49000 (89%)]	Train Loss: 1.552522	Val Loss: 1.386858	Val Acc: 50	Test Acc: 50
Train Epoch: 1 [44800/49000 (91%)]	Train Loss: 1.377809	Val Loss: 1.341336	Val Acc: 51	Test Acc: 55
Train Epoch: 1 [46080/49000 (94%)]	Train Loss: 1.453593	Val Loss: 1.344355	Val Acc: 50	Test Acc: 52
Train Epoch: 1 [47360/49000 (97%)]	Train Loss: 1.499329	Val Loss: 1.349687	Val Acc: 51	Test Acc: 48
Train Epoch: 1 [48640/49000 (99%)]	Train Loss: 1.305280	Val Loss: 1.402371	Val Acc: 49	Test Acc: 47
Train Epoch: 2 [0/49000 (0%)]	Train Loss: 1.338064	Val Loss: 1.254403	Val Acc: 55	Test Acc: 49
Train Epoch: 2 [1280/49000 (3%)]	Train Loss: 1.420632	Val Loss: 1.262942	Val Acc: 52	Test Acc: 52
Train Epoch: 2 [2560/49000 (5%)]	Train Loss: 1.397124	Val Loss: 1.273733	Val Acc: 54	Test Acc: 51
