Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 2.327290	Val Loss: 2.307575	Val Acc: 11
Train Epoch: 1 [2560/49000 (5%)]	Train Loss: 2.300364	Val Loss: 2.297458	Val Acc: 12
Train Epoch: 1 [5120/49000 (10%)]	Train Loss: 2.296591	Val Loss: 2.284685	Val Acc: 14
Train Epoch: 1 [7680/49000 (16%)]	Train Loss: 2.291107	Val Loss: 2.275400	Val Acc: 15
Train Epoch: 1 [10240/49000 (21%)]	Train Loss: 2.302356	Val Loss: 2.267314	Val Acc: 17
Train Epoch: 1 [12800/49000 (26%)]	Train Loss: 2.274673	Val Loss: 2.259699	Val Acc: 18
Train Epoch: 1 [15360/49000 (31%)]	Train Loss: 2.288932	Val Loss: 2.252468	Val Acc: 20
Train Epoch: 1 [17920/49000 (36%)]	Train Loss: 2.260132	Val Loss: 2.246000	Val Acc: 20
Train Epoch: 1 [20480/49000 (42%)]	Train Loss: 2.262388	Val Loss: 2.240092	Val Acc: 21
Train Epoch: 1 [23040/49000 (47%)]	Train Loss: 2.240027	Val Loss: 2.235044	Val Acc: 22
Train Epoch: 1 [25600/49000 (52%)]	Train Loss: 2.244164	Val Loss: 2.230509	Val Acc: 22
Train Epoch: 1 [28160/49000 (57%)]	Train Loss: 2.219576	Val Loss: 2.226000	Val Acc: 23
Train Epoch: 1 [30720/49000 (62%)]	Train Loss: 2.246844	Val Loss: 2.222463	Val Acc: 24
Train Epoch: 1 [33280/49000 (68%)]	Train Loss: 2.213195	Val Loss: 2.219304	Val Acc: 23
Train Epoch: 1 [35840/49000 (73%)]	Train Loss: 2.238389	Val Loss: 2.216577	Val Acc: 24
Train Epoch: 1 [38400/49000 (78%)]	Train Loss: 2.211238	Val Loss: 2.214181	Val Acc: 24
Train Epoch: 1 [40960/49000 (83%)]	Train Loss: 2.218401	Val Loss: 2.211748	Val Acc: 24
Train Epoch: 1 [43520/49000 (89%)]	Train Loss: 2.224149	Val Loss: 2.209609	Val Acc: 24
Train Epoch: 1 [46080/49000 (94%)]	Train Loss: 2.215246	Val Loss: 2.207565	Val Acc: 24
Train Epoch: 1 [48640/49000 (99%)]	Train Loss: 2.229157	Val Loss: 2.205170	Val Acc: 25
Train Epoch: 2 [0/49000 (0%)]	Train Loss: 2.242800	Val Loss: 2.204688	Val Acc: 25
Train Epoch: 2 [2560/49000 (5%)]	Train Loss: 2.211321	Val Loss: 2.202359	Val Acc: 25
Train Epoch: 2 [5120/49000 (10%)]	Train Loss: 2.204771	Val Loss: 2.199610	Val Acc: 25
Train Epoch: 2 [7680/49000 (16%)]	Train Loss: 2.230024	Val Loss: 2.196541	Val Acc: 26
Train Epoch: 2 [10240/49000 (21%)]	Train Loss: 2.202995	Val Loss: 2.193769	Val Acc: 26
Train Epoch: 2 [12800/49000 (26%)]	Train Loss: 2.209360	Val Loss: 2.191465	Val Acc: 27
Train Epoch: 2 [15360/49000 (31%)]	Train Loss: 2.219383	Val Loss: 2.189552	Val Acc: 27
Train Epoch: 2 [17920/49000 (36%)]	Train Loss: 2.206693	Val Loss: 2.187694	Val Acc: 27
Train Epoch: 2 [20480/49000 (42%)]	Train Loss: 2.164948	Val Loss: 2.186487	Val Acc: 27
Train Epoch: 2 [23040/49000 (47%)]	Train Loss: 2.205550	Val Loss: 2.185278	Val Acc: 27
Train Epoch: 2 [25600/49000 (52%)]	Train Loss: 2.239986	Val Loss: 2.184269	Val Acc: 27
